1,Other,#336600
2,Person,#339966
3,Exchange,#0066ff
4,Hosted Wallet,#00ccff
5,Mixer,#996633
6,Mining Pool,#cc9900
7,Miner,#ffff00
8,Gambling,#ff9999
9,Merchant,#ffcc99
10,Darknet Market,#ff0000
11,Scam,#cc0066
12,Theft,#990033
13,Ransom,#ff3300
